X,Y,X_t-1
-0.7625491232166288,0.7759617770816497,-0.7536882595424867
-0.48183062658327735,-0.7930636033710812,-0.7625491232166288
0.32166945942826625,-0.5199539886595111,-0.48183062658327735
0.01943881434966266,0.3388452923073022,0.32166945942826625
-0.3874122944003365,0.01148362492498619,0.01943881434966266
-0.5863874104813755,-0.3619941507415046,-0.3874122944003365
-0.050125335085207556,-0.5695403326071924,-0.5863874104813755
0.12096574127284507,-0.05271801643451506,-0.050125335085207556
-0.16012069695361983,0.09082020978742439,0.12096574127284507
0.11796512532317371,-0.21404867697163046,-0.16012069695361983
0.15069956996450362,0.10206936433789897,0.11796512532317371
0.6148321511950952,0.1811870384795559,0.15069956996450362
0.18143371505971106,0.6224538063476991,0.6148321511950952
-0.0067048669541870665,0.13708589247319758,0.18143371505971106
-0.2018606616773996,-0.0005396924358525039,-0.0067048669541870665
-0.9065739351034232,-0.188143510788525,-0.2018606616773996
-0.6370559196761014,-0.938038920734637,-0.9065739351034232
-0.42117897398081794,-0.6315833648820587,-0.6370559196761014
-0.36219496268602297,-0.4191067659362867,-0.42117897398081794
-0.43096360549642615,-0.40288426678094347,-0.36219496268602297
